,Angles,Times,RSSI,POS
0,-0.03611026038608944,1764756965.1563742,"(254.0399169921875, 532.58544921875, 509.7528991699219, 294.2966613769531)",14.4
1,-0.252771822702627,1764756965.3428972,"(14.930673599243164, 3234.49951171875, 246.8143310546875, 247.501953125)",13.3
2,-0.3249923434748061,1764756965.5364501,"(17.21541976928711, 3763.0185546875, 88.46969604492188, 90.88923645019531)",7.0
3,-1.0471975511965976,1764756965.6982381,"(3849.29541015625, 75.04683685302734, 83.86801147460938, 179.45347595214844)",2.4
4,-1.0471975511965976,1764756965.8674338,"(3029.65966796875, 176.8199920654297, 135.7555389404297, 49.12765121459961)",-2.5
5,-0.252771822702627,1764756966.017766,"(668.110595703125, 2383.497314453125, 404.67535400390625, 38.366878509521484)",-9.1
6,0.036110260386089665,1764756966.1739395,"(180.4068603515625, 766.6337890625, 907.254150390625, 756.02490234375)",-16.0
7,-0.9027565096522393,1764756966.3224058,"(1998.208984375, 167.99200439453125, 536.8449096679688, 1536.7491455078125)",-20.6
8,-0.6860949473357019,1764756966.478996,"(2073.61328125, 1969.8740234375, 238.72096252441406, 65.47535705566406)",-24.2
9,-0.252771822702627,1764756966.6446598,"(50.65192413330078, 1849.7869873046875, 77.61943817138672, 316.96923828125)",-29.5
10,0.036110260386089665,1764756966.8097653,"(98.04914093017578, 1670.55419921875, 1752.232177734375, 25.40645980834961)",-35.0
11,0.6860949473357019,1764756966.9677389,"(21.972728729248047, 146.27197265625, 1293.84814453125, 1394.24462890625)",-38.6
12,1.0471975511965976,1764756967.1417828,"(24.541221618652344, 6.080461502075195, 190.48907470703125, 1143.60302734375)",-39.7
13,1.0471975511965976,1764756967.3237786,"(20.434696197509766, 6.606470584869385, 216.30616760253906, 960.450927734375)",-38.6
14,1.0471975511965976,1764756967.5676541,"(44.1493034362793, 170.95870971679688, 171.659912109375, 1094.16015625)",-29.1
15,-0.03611026038608944,1764756967.7722461,"(131.7165069580078, 1781.856201171875, 1695.487060546875, 13.951719284057617)",-20.4
16,-0.03611026038608944,1764756967.9505396,"(212.32119750976562, 1913.357421875, 1847.09375, 74.417236328125)",-14.5
17,-0.03611026038608944,1764756968.1028712,"(510.42254638671875, 1768.407958984375, 1808.2413330078125, 131.94876098632812)",-12.0
