,Angles,Times,RSSI,POS
0,0.252771822702627,1764757427.8879986,"(120.80238342285156, 48.268287658691406, 1575.857177734375, 76.5826644897461)",10.0
1,0.3249923434748063,1764757428.055261,"(130.61410522460938, 20.449127197265625, 1994.4249267578125, 92.70066833496094)",9.5
2,0.3249923434748063,1764757428.2202969,"(115.55091857910156, 14.877840042114258, 1870.9375, 103.12956237792969)",8.3
3,0.3249923434748063,1764757428.4192781,"(113.93656158447266, 21.06788444519043, 1785.065185546875, 115.94874572753906)",7.8
4,0.3249923434748063,1764757428.5889914,"(107.62947082519531, 21.97824478149414, 1852.5570068359375, 121.6241226196289)",7.8
5,0.3249923434748063,1764757428.773203,"(112.58566284179688, 19.670385360717773, 1737.920654296875, 118.52610778808594)",8.6
6,0.3249923434748063,1764757428.9580975,"(103.51869201660156, 11.071544647216797, 1782.5045166015625, 119.09029388427734)",10.9
7,0.3249923434748063,1764757429.1435025,"(106.67355346679688, 25.251678466796875, 1813.8115234375, 103.16978454589844)",14.4
8,0.252771822702627,1764757429.328771,"(126.66166687011719, 87.97969055175781, 1883.7003173828125, 96.88067626953125)",17.7
9,0.252771822702627,1764757429.5196187,"(145.9089813232422, 196.98602294921875, 1751.9310302734375, 106.28401947021484)",20.8
10,0.252771822702627,1764757429.6980093,"(169.85275268554688, 277.47943115234375, 1511.154296875, 109.5252914428711)",23.1
11,0.18055130193044788,1764757429.8948526,"(199.50975036621094, 390.0875244140625, 1481.828857421875, 111.07682800292969)",25.6
12,0.18055130193044788,1764757430.0779574,"(244.03968811035156, 582.3050537109375, 1368.765869140625, 124.54048919677734)",28.0
13,0.10833078115826877,1764757430.2664995,"(251.23965454101562, 659.1500244140625, 1178.126220703125, 124.2289810180664)",29.8
14,0.036110260386089665,1764757430.449099,"(278.75091552734375, 717.3192138671875, 974.79736328125, 111.72697448730469)",31.2
15,-0.03611026038608944,1764757430.631785,"(297.7611083984375, 856.4505615234375, 850.6637573242188, 99.25382232666016)",32.3
16,-0.03611026038608944,1764757430.815999,"(318.77349853515625, 965.4363403320312, 820.1065673828125, 89.66116333007812)",32.9
17,-0.03611026038608944,1764757431.0041962,"(299.36279296875, 906.05517578125, 805.830322265625, 85.58683776855469)",33.0
18,-0.03611026038608944,1764757431.1950552,"(277.7184143066406, 955.2733154296875, 762.9617919921875, 87.5103759765625)",33.0
19,-0.03611026038608944,1764757431.3811922,"(280.06695556640625, 890.1068115234375, 779.89501953125, 88.06532287597656)",33.0
20,-0.10833078115826866,1764757431.5624993,"(276.69879150390625, 1056.611083984375, 706.3865356445312, 76.50384521484375)",33.0
21,-0.10833078115826866,1764757431.7454927,"(281.5794677734375, 1118.228759765625, 731.7824096679688, 80.78428649902344)",33.0
22,-0.10833078115826866,1764757431.9416597,"(289.3957214355469, 1053.427490234375, 717.7027587890625, 71.11250305175781)",32.9
23,-0.10833078115826866,1764757432.1229486,"(254.77171325683594, 1032.43798828125, 699.6498413085938, 77.80833435058594)",32.9
24,-0.10833078115826866,1764757432.3045723,"(269.5557861328125, 1165.009521484375, 665.986328125, 80.10999298095703)",32.1
25,-0.10833078115826866,1764757432.4894822,"(259.64190673828125, 1116.718017578125, 736.7337646484375, 80.39236450195312)",31.5
26,-0.03611026038608944,1764757432.6833467,"(288.95220947265625, 1007.5897216796875, 746.11376953125, 91.496337890625)",30.1
27,-0.03611026038608944,1764757432.868059,"(265.6815490722656, 862.3096923828125, 869.114990234375, 105.74551391601562)",28.6
28,0.036110260386089665,1764757433.0530663,"(258.6270751953125, 688.8014526367188, 989.3848876953125, 111.50330352783203)",27.6
29,0.036110260386089665,1764757433.2402694,"(270.72247314453125, 667.7482299804688, 977.5439453125, 117.77967834472656)",27.5
30,0.036110260386089665,1764757433.4268866,"(253.04319763183594, 715.148193359375, 1044.0885009765625, 104.99818420410156)",27.5
31,0.10833078115826877,1764757433.612095,"(240.72080993652344, 666.2972412109375, 1056.41748046875, 111.69325256347656)",27.5
32,0.036110260386089665,1764757433.7973502,"(240.54310607910156, 710.691650390625, 1025.89697265625, 108.34615325927734)",27.5
33,0.036110260386089665,1764757433.9785538,"(238.46983337402344, 706.6024780273438, 1028.36962890625, 112.0149154663086)",27.5
34,0.036110260386089665,1764757434.1630712,"(234.64401245117188, 785.476318359375, 1090.499755859375, 116.5721664428711)",27.6
35,0.036110260386089665,1764757434.353843,"(226.76295471191406, 800.2368774414062, 1087.976806640625, 117.83000183105469)",27.6
36,0.036110260386089665,1764757434.5347934,"(250.9835968017578, 729.866943359375, 1037.207275390625, 112.01846313476562)",27.9
37,0.036110260386089665,1764757434.7265177,"(254.55972290039062, 752.030029296875, 1055.3037109375, 109.67378234863281)",28.4
38,0.036110260386089665,1764757434.9098647,"(261.1990051269531, 767.3954467773438, 1039.9647216796875, 109.568359375)",28.5
39,0.036110260386089665,1764757435.1009111,"(284.2362976074219, 820.8330688476562, 1001.5791015625, 118.10659790039062)",29.0
40,0.036110260386089665,1764757435.2861862,"(264.4414978027344, 769.06640625, 987.611572265625, 122.11373901367188)",29.2
41,0.036110260386089665,1764757435.4685152,"(275.48248291015625, 846.3538818359375, 948.912353515625, 112.32942199707031)",29.6
42,0.036110260386089665,1764757435.652887,"(263.3733215332031, 859.0930786132812, 964.5810546875, 107.07537841796875)",30.0
43,-0.03611026038608944,1764757435.847658,"(253.26785278320312, 908.4130859375, 905.189208984375, 102.78353118896484)",30.4
44,-0.03611026038608944,1764757436.0285397,"(269.56982421875, 987.6624755859375, 867.34228515625, 104.14067840576172)",30.6
45,-0.03611026038608944,1764757436.2096605,"(268.05230712890625, 1027.632080078125, 904.251953125, 92.17835998535156)",30.7
46,-0.03611026038608944,1764757436.4058862,"(263.62481689453125, 974.326904296875, 871.5098876953125, 95.69538116455078)",30.7
47,-0.03611026038608944,1764757436.5902207,"(253.7454833984375, 939.5822143554688, 865.2963256835938, 100.3878402709961)",30.7
48,-0.03611026038608944,1764757436.7728903,"(253.69485473632812, 893.0430297851562, 857.311279296875, 99.7380599975586)",30.7
49,-0.03611026038608944,1764757436.9519181,"(246.28802490234375, 900.8492431640625, 849.6482543945312, 108.58183288574219)",30.7
50,-0.03611026038608944,1764757437.145269,"(277.892822265625, 899.297607421875, 866.0604248046875, 102.15939331054688)",30.7
51,-0.03611026038608944,1764757437.3253639,"(272.1800537109375, 889.5540771484375, 881.2213134765625, 102.18296813964844)",30.7
52,-0.03611026038608944,1764757437.5204332,"(256.522216796875, 929.3641357421875, 874.781982421875, 107.03721618652344)",30.6
53,0.036110260386089665,1764757437.6957,"(271.251220703125, 853.733154296875, 916.8407592773438, 96.97993469238281)",30.6
54,-0.03611026038608944,1764757437.8903444,"(269.3704833984375, 880.601318359375, 839.4404296875, 97.3414306640625)",30.4
55,-0.03611026038608944,1764757438.0685983,"(263.9845886230469, 933.870849609375, 871.151123046875, 95.87910461425781)",30.1
56,-0.03611026038608944,1764757438.2605278,"(277.5329284667969, 925.326904296875, 892.3973388671875, 94.3260498046875)",29.8
57,-0.03611026038608944,1764757438.4414437,"(258.09234619140625, 927.83642578125, 882.47900390625, 94.51492309570312)",29.6
58,-0.03611026038608944,1764757438.6332052,"(260.82391357421875, 957.4434814453125, 860.120361328125, 92.91551208496094)",29.1
59,0.036110260386089665,1764757438.8123038,"(264.08258056640625, 873.0546875, 996.963623046875, 97.57416534423828)",28.4
60,0.036110260386089665,1764757439.0079532,"(258.3223876953125, 828.5454711914062, 986.3468017578125, 100.35314178466797)",28.2
61,0.036110260386089665,1764757439.190811,"(279.3519287109375, 817.4480590820312, 972.9981689453125, 103.21544647216797)",28.2
