,Times,RSSI,POS
0,1764579479.5015998,"(0.016638007014989853, 0.01083290670067072, 0.08265334367752075, 0.5465452671051025)",0.0
1,1764579479.5015998,"(0.01701585203409195, 0.01030031219124794, 0.08441969007253647, 0.5656166076660156)",0.0
2,1764579479.5015998,"(0.044546231627464294, 0.002391467336565256, 0.06893349438905716, 0.5296177864074707)",0.0
3,1764579479.5015998,"(0.10185697674751282, 0.06445205211639404, 0.10996615886688232, 1.1162092685699463)",23.2
4,1764579479.5015998,"(0.09526042640209198, 0.10676617920398712, 0.4103240370750427, 0.9397752285003662)",24.2
5,1764579479.5015998,"(0.09902619570493698, 0.06527546048164368, 0.26848548650741577, 0.6217367649078369)",24.4
6,1764579479.5015998,"(0.0030112341046333313, 0.15339124202728271, 0.37310513854026794, 0.4823187291622162)",47.6
7,1764579479.5015998,"(0.005484750494360924, 0.20922580361366272, 0.8654099702835083, 0.013616912998259068)",48.5
8,1764579479.5015998,"(0.007039154879748821, 0.2226833999156952, 0.7664535045623779, 0.01389048621058464)",48.5
9,1764579479.5015998,"(0.25175708532333374, 0.3276008367538452, 0.8037772178649902, 0.018292073160409927)",71.4
10,1764579479.5015998,"(0.26345643401145935, 0.45751723647117615, 0.2777141034603119, 0.22849425673484802)",72.6
11,1764579479.5015998,"(0.3453306555747986, 0.6438392400741577, 0.33494433760643005, 0.2513622045516968)",73.0
12,1764579479.5015998,"(0.2060854732990265, 0.9877160787582397, 0.04256301373243332, 0.2532593011856079)",95.9
13,1764579479.5015998,"(0.19363771378993988, 0.5713774561882019, 0.1307685226202011, 0.18860357999801636)",96.9
14,1764579479.5015998,"(0.2003467082977295, 0.5904486179351807, 0.11181777715682983, 0.12581482529640198)",97.0
15,1764579479.5015998,"(0.787319540977478, 0.0777687132358551, 0.08553838729858398, 0.14480018615722656)",119.6
16,1764579479.5015998,"(0.8678000569343567, 0.007985379546880722, 0.033748723566532135, 0.10555335134267807)",120.9
17,1764579479.5015998,"(0.9098891019821167, 0.004134639631956816, 0.03593074530363083, 0.1114179864525795)",121.0
18,1764579479.5015998,"(0.00903179869055748, 0.033379461616277695, 0.18140602111816406, 0.07565566897392273)",143.9
19,1764579479.5015998,"(0.04086105152964592, 0.04010951146483421, 0.14242807030677795, 0.056459274142980576)",144.6
20,1764579479.5015998,"(0.01747369021177292, 0.042759623378515244, 0.16897320747375488, 0.044225066900253296)",144.6
21,1764579479.5015998,"(0.5618864297866821, 0.04543205350637436, 0.04586154595017433, 0.03632928431034088)",167.6
22,1764579479.5015998,"(0.42202574014663696, 0.13155776262283325, 0.10909561812877655, 0.016791870817542076)",168.6
23,1764579479.5015998,"(0.5302635431289673, 0.15608097612857819, 0.09943696111440659, 0.029344342648983)",168.6
24,1764579479.5015998,"(0.08147025108337402, 0.1352313607931137, 0.3759285807609558, 0.014573810622096062)",192.1
25,1764579479.5015998,"(0.10344202816486359, 0.018894512206315994, 0.6118676662445068, 0.16383682191371918)",192.6
26,1764579479.5015998,"(0.09075391292572021, 0.03222173452377319, 0.6093878746032715, 0.16231590509414673)",192.6
27,1764579479.5015998,"(0.5682491660118103, 0.28433993458747864, 0.16612303256988525, 0.1573154628276825)",216.0
28,1764579479.5015998,"(0.5545815229415894, 0.5115090012550354, 0.05146105960011482, 0.5411525964736938)",216.8
29,1764579479.5015998,"(0.4954386055469513, 0.677809476852417, 0.04894033074378967, 0.6212688684463501)",216.9
30,1764579479.5015998,"(0.2586348354816437, 0.28261974453926086, 0.20649704337120056, 0.5379346609115601)",239.9
31,1764579479.5015998,"(0.2526732385158539, 0.12251505255699158, 0.4890052378177643, 0.09508377313613892)",240.5
32,1764579479.5015998,"(0.2432098686695099, 0.1163124218583107, 0.4442179203033447, 0.09698942303657532)",240.5
33,1764579479.5015998,"(0.1556621938943863, 0.21479643881320953, 0.6390569806098938, 0.05871745944023132)",263.8
34,1764579479.5015998,"(0.13883909583091736, 0.22834712266921997, 0.5331381559371948, 0.02281893417239189)",264.9
35,1764579479.5015998,"(0.15475407242774963, 0.18968364596366882, 0.5291605591773987, 0.01841811276972294)",264.9
36,1764579479.5015998,"(0.3361608684062958, 0.1541438102722168, 0.3783178925514221, 0.01535982359200716)",287.9
37,1764579479.5015998,"(0.2805444598197937, 0.24643808603286743, 0.17039665579795837, 0.2202610969543457)",288.5
38,1764579479.5015998,"(0.3983919322490692, 0.2217712551355362, 0.18290993571281433, 0.21129897236824036)",288.5
39,1764579479.5015998,"(0.017225485295057297, 0.3271633982658386, 0.04501190409064293, 0.2658575177192688)",311.7
40,1764579479.5015998,"(0.006161745171993971, 0.31521308422088623, 0.09029481559991837, 1.0258657932281494)",313.0
41,1764579479.5015998,"(0.011101141571998596, 0.25650662183761597, 0.07613585889339447, 0.8999863862991333)",313.0
42,1764579479.5015998,"(0.17724308371543884, 0.04118244722485542, 0.06668251752853394, 0.9892131090164185)",335.9
43,1764579479.5015998,"(0.15316127240657806, 0.02583025023341179, 0.09537597000598907, 0.6483681201934814)",336.9
44,1764579479.5015998,"(0.17094163596630096, 0.03971399739384651, 0.1000426858663559, 0.5884121656417847)",337.0
45,1764579479.5015998,"(0.0785745158791542, 0.027181603014469147, 0.09921270608901978, 0.6003865599632263)",359.8
46,1764579479.5015998,"(0.07939798384904861, 0.03776658698916435, 0.052632398903369904, 1.5027625560760498)",360.8
47,1764579479.5015998,"(0.07669094204902649, 0.07239885628223419, 0.04942672699689865, 1.3394829034805298)",360.8
