,Times,RSSI,POS
0,1764579395.3697872,"(0.11360354721546173, 1.11072838306427, 1.823685646057129, 0.3821747303009033)",-0.3
1,1764579395.3697872,"(0.0937718078494072, 0.09121647477149963, 0.9088765382766724, 2.8009634017944336)",-0.3
2,1764579395.3697872,"(0.15531045198440552, 0.10962135344743729, 1.130817174911499, 2.4741697311401367)",-0.3
3,1764579395.3697872,"(0.10293489694595337, 0.359982967376709, 3.7689554691314697, 2.7578365802764893)",21.8
4,1764579395.3697872,"(0.22613029181957245, 0.35892027616500854, 6.908482074737549, 0.05579419434070587)",23.0
5,1764579395.3697872,"(0.210819274187088, 0.34928032755851746, 6.856758117675781, 0.06576962023973465)",23.4
6,1764579395.3697872,"(2.33866286277771, 2.1208181381225586, 7.078205108642578, 0.10157735645771027)",47.1
7,1764579395.3697872,"(2.47170090675354, 4.097103118896484, 2.178257942199707, 0.2713986933231354)",48.1
8,1764579395.3697872,"(2.4556710720062256, 3.8248178958892822, 2.1610653400421143, 0.27076441049575806)",48.1
9,1764579395.3697872,"(1.8172929286956787, 4.387611389160156, 0.29383379220962524, 0.3838629722595215)",71.8
10,1764579395.3697872,"(1.9154162406921387, 3.2179269790649414, 0.1478498876094818, 1.455201268196106)",72.6
11,1764579395.3697872,"(1.7503591775894165, 2.6223068237304688, 0.10910944640636444, 1.415083885192871)",72.6
12,1764579395.3697872,"(3.0361342430114746, 0.567936897277832, 0.33326488733291626, 1.3889076709747314)",95.8
13,1764579395.3697872,"(3.1627516746520996, 0.353382408618927, 0.5679101943969727, 0.7194178104400635)",96.5
14,1764579395.3697872,"(3.4189209938049316, 0.34941208362579346, 0.5608808398246765, 0.691300630569458)",96.5
15,1764579395.3697872,"(0.40881818532943726, 0.3471618592739105, 0.5497475266456604, 0.7117245197296143)",119.8
16,1764579395.3697872,"(0.3788442611694336, 0.310985267162323, 0.2935776710510254, 0.8575575351715088)",120.7
17,1764579395.3697872,"(0.37707000970840454, 0.3227889835834503, 0.2830531597137451, 0.800888180732727)",120.7
18,1764579395.3697872,"(0.21570110321044922, 0.15301541984081268, 0.09485276788473129, 0.7728599309921265)",144.0
19,1764579395.3697872,"(0.24837332963943481, 0.11458595097064972, 0.21017521619796753, 0.4089696407318115)",144.6
20,1764579395.3697872,"(0.27933046221733093, 0.11884966492652893, 0.24501442909240723, 0.38881123065948486)",144.6
21,1764579395.3697872,"(0.18347236514091492, 0.3890730142593384, 0.43096792697906494, 0.4838680028915405)",167.7
22,1764579395.3697872,"(0.13910746574401855, 0.7151033878326416, 0.7961809635162354, 1.7016438245773315)",168.7
23,1764579395.3697872,"(0.13425114750862122, 0.696533739566803, 0.8387006521224976, 1.6210806369781494)",168.7
24,1764579395.3697872,"(1.4392470121383667, 0.8264213800430298, 1.3312604427337646, 1.4126386642456055)",191.8
25,1764579395.3697872,"(1.5150598287582397, 0.5674684047698975, 2.4820947647094727, 0.42874613404273987)",192.4
26,1764579395.3697872,"(1.4422647953033447, 0.5558183789253235, 2.429281234741211, 0.41981691122055054)",192.4
27,1764579395.3697872,"(2.192856550216675, 0.5134176015853882, 2.3273749351501465, 0.37406235933303833)",215.8
28,1764579395.3697872,"(2.1189937591552734, 1.0447238683700562, 0.27133089303970337, 0.5931000709533691)",216.6
29,1764579395.3697872,"(1.9839311838150024, 1.000683069229126, 0.2785715162754059, 0.6152327060699463)",216.6
30,1764579395.3697872,"(0.26311448216438293, 1.1424832344055176, 0.08507981896400452, 0.7821772694587708)",239.9
31,1764579395.3697872,"(0.2028103470802307, 0.5910890102386475, 1.0378010272979736, 0.6686257719993591)",240.9
32,1764579395.3697872,"(0.21555034816265106, 0.5782490968704224, 1.0543739795684814, 0.6335760354995728)",241.1
33,1764579395.3697872,"(1.270267367362976, 0.12104826420545578, 1.0302765369415283, 0.3572521209716797)",264.0
34,1764579395.3697872,"(1.2881369590759277, 0.18968814611434937, 0.32120281457901, 0.02006458304822445)",264.5
35,1764579395.3697872,"(1.270324945449829, 0.19064345955848694, 0.32658761739730835, 0.01981539838016033)",264.5
36,1764579395.3697872,"(0.11703559756278992, 0.20291654765605927, 0.06735552847385406, 0.015545396134257317)",287.9
37,1764579395.3697872,"(0.06889436393976212, 0.08630190789699554, 0.10603015124797821, 0.31300902366638184)",289.1
38,1764579395.3697872,"(0.06930525600910187, 0.0842909961938858, 0.09721013903617859, 0.31338751316070557)",289.2
39,1764579395.3697872,"(1.1325252056121826, 0.41389673948287964, 0.1131841167807579, 0.5056199431419373)",311.7
40,1764579395.3697872,"(1.3941922187805176, 0.37217795848846436, 0.022296275943517685, 1.3992444276809692)",312.5
41,1764579395.3697872,"(1.31278395652771, 0.382377564907074, 0.02042735181748867, 1.4179139137268066)",312.5
42,1764579395.3697872,"(0.9600605368614197, 0.03817614167928696, 0.06070049852132797, 1.3450251817703247)",335.8
43,1764579395.3697872,"(0.7180600166320801, 0.010131114162504673, 0.050267986953258514, 0.9870202541351318)",337.0
44,1764579395.3697872,"(0.7614676356315613, 0.008975192904472351, 0.04917933791875839, 0.914152979850769)",337.2
45,1764579395.3697872,"(0.26615944504737854, 0.04033859074115753, 0.01962025836110115, 1.2575265169143677)",359.3
46,1764579395.3697872,"(0.28530213236808777, 0.009986769407987595, 1.2187834978103638, 2.9308695793151855)",360.6
47,1764579395.3697872,"(0.29035502672195435, 0.008947396650910378, 1.2094708681106567, 2.9985766410827637)",360.6
