t;θ
0,000000E0;9,530340E1
8,333333E-2;9,505301E1
1,666667E-1;9,472346E1
2,500000E-1;9,449172E1
3,333333E-1;9,366779E1
4,166667E-1;9,267997E1
5,000000E-1;9,208034E1
5,833333E-1;9,294825E1
6,666667E-1;9,085692E1
7,500000E-1;8,542115E1
8,333333E-1;8,131025E1
9,166667E-1;8,039665E1
1,000000E0;7,980576E1
1,083333E0;7,706033E1
1,166667E0;7,413929E1
1,250000E0;7,439074E1
1,333333E0;7,388393E1
1,416667E0;7,447589E1
1,500000E0;7,402127E1
1,583333E0;7,144820E1
1,666667E0;7,015450E1
1,750000E0;6,894447E1
1,833333E0;6,763312E1
1,916667E0;6,602526E1
2,000000E0;6,549584E1
2,083333E0;6,398061E1
2,166667E0;6,278079E1
2,250000E0;6,043965E1
2,333333E0;5,891096E1
2,416667E0;5,630993E1
2,500000E0;5,393669E1
2,583333E0;5,246874E1
2,666667E0;5,392686E1
2,750000E0;5,374616E1
2,833333E0;5,419010E1
2,916667E0;5,521937E1
3,000000E0;5,539028E1
3,083333E0;5,456099E1
3,166667E0;5,500798E1
3,250000E0;5,556101E1
3,333333E0;5,725022E1
3,416667E0;5,685722E1
3,500000E0;5,610543E1
3,583333E0;5,648199E1
3,666667E0;5,651383E1
3,750000E0;5,562502E1
3,835000E0;5,391830E1
3,918333E0;5,394538E1
4,001667E0;5,349659E1
4,085000E0;5,135939E1
4,168333E0;5,057220E1
4,251667E0;4,881407E1
4,335000E0;4,761046E1
4,418333E0;4,708257E1
4,501667E0;4,698684E1
4,585000E0;4,699285E1
4,668333E0;4,683633E1
4,751667E0;4,664648E1
4,835000E0;4,742194E1
4,918333E0;4,586805E1
5,001667E0;4,352676E1
5,085000E0;4,301913E1
5,168333E0;4,272339E1
5,251667E0;4,465170E1
5,335000E0;4,456397E1
5,418333E0;4,404948E1
5,501667E0;4,559592E1
5,585000E0;4,517206E1
5,668333E0;4,595340E1
5,751667E0;4,621518E1
5,835000E0;4,473917E1
5,918333E0;4,412666E1
6,001667E0;4,361128E1
6,085000E0;4,517258E1
6,168333E0;4,621888E1
6,251667E0;4,596507E1
6,335000E0;4,699285E1
6,418333E0;4,695655E1
6,501667E0;4,630393E1
6,585000E0;4,578244E1
6,668333E0;4,508721E1
6,751667E0;4,752740E1
6,835000E0;4,836646E1
6,918333E0;4,796694E1
7,001667E0;4,933231E1
7,085000E0;4,972014E1
7,168333E0;4,849997E1
