t;θ
6,741779E-2;9,996521E1
1,507511E-1;9,688896E1
2,340845E-1;9,157655E1
3,174178E-1;8,873633E1
4,007511E-1;8,863357E1
4,840845E-1;8,705355E1
5,674178E-1;8,448945E1
6,507511E-1;8,307278E1
7,340845E-1;8,291424E1
8,174178E-1;8,283530E1
9,007511E-1;8,156914E1
9,840845E-1;7,959015E1
1,067418E0;7,939996E1
1,150751E0;7,772615E1
1,234084E0;7,567948E1
1,317418E0;7,421481E1
1,400751E0;7,335180E1
1,484084E0;7,176751E1
1,567418E0;7,038906E1
1,650751E0;6,851351E1
1,734084E0;6,671764E1
1,817418E0;6,515045E1
1,900751E0;6,329159E1
1,984084E0;6,439781E1
2,067418E0;6,401077E1
2,150751E0;6,343495E1
2,234084E0;6,329038E1
2,317418E0;6,358049E1
2,400751E0;6,601541E1
2,484084E0;6,825985E1
2,567418E0;6,910223E1
2,650751E0;7,005400E1
2,734084E0;7,039731E1
2,817418E0;7,009098E1
2,900751E0;6,862495E1
2,984084E0;6,789682E1
3,067418E0;6,777389E1
3,150751E0;6,598193E1
3,234084E0;6,353297E1
3,319084E0;6,172148E1
3,402418E0;6,047401E1
3,485751E0;6,122291E1
3,569084E0;6,141590E1
3,652418E0;6,191461E1
3,735751E0;6,255655E1
3,819084E0;6,343495E1
3,902418E0;6,461715E1
3,985751E0;6,465382E1
4,069084E0;6,230296E1
4,152418E0;5,980666E1
4,235751E0;5,819179E1
4,319084E0;5,791367E1
4,402418E0;5,884727E1
4,485751E0;5,755398E1
4,569084E0;5,848662E1
4,652418E0;5,812385E1
4,735751E0;5,673957E1
4,819084E0;5,588259E1
4,902418E0;5,506192E1
4,985751E0;5,692932E1
5,069084E0;5,793600E1
5,152418E0;5,801793E1
5,235751E0;5,822719E1
5,319084E0;5,717146E1
5,402418E0;5,557659E1
5,485751E0;5,541716E1
5,569084E0;5,509964E1
5,652418E0;5,690091E1
5,735751E0;5,634084E1
5,819084E0;5,609818E1
5,902418E0;5,649269E1
5,985751E0;5,554807E1
6,069084E0;5,719841E1
6,152418E0;5,700826E1
6,235751E0;5,521466E1
6,319084E0;5,502604E1
6,402418E0;5,407796E1
6,485751E0;5,479844E1
6,569084E0;5,652673E1
6,652418E0;5,640249E1
6,735751E0;5,715017E1
6,819084E0;5,730520E1
6,902418E0;5,735100E1
