t;θ
6,741779E-2;3,448996E1
1,507511E-1;3,191963E1
2,340845E-1;2,588108E1
3,174178E-1;2,330618E1
4,007511E-1;2,252260E1
4,840845E-1;2,085046E1
5,674178E-1;1,764237E1
6,507511E-1;1,335912E1
7,340845E-1;1,245113E1
8,174178E-1;1,136264E1
9,007511E-1;7,080661E0
9,840845E-1;1,616067E0
1,067418E0;7,161599E-1
1,150751E0;-9,893107E-1
1,234084E0;-4,350097E0
1,317418E0;-4,384992E0
1,400751E0;-9,491630E0
1,484084E0;-1,158773E1
1,567418E0;-1,649153E1
1,650751E0;-1,958071E1
1,734084E0;-2,332916E1
1,817418E0;-2,628340E1
1,900751E0;-3,056158E1
1,984084E0;-3,391874E1
2,067418E0;-3,685167E1
2,150751E0;-4,122914E1
2,234084E0;-4,628444E1
2,317418E0;-4,927946E1
2,400751E0;-5,269960E1
2,484084E0;-5,696040E1
2,567418E0;-6,192751E1
2,650751E0;-6,745205E1
2,734084E0;-6,856801E1
2,817418E0;-7,470266E1
2,900751E0;-7,986851E1
2,984084E0;-8,406977E1
3,067418E0;-8,900538E1
3,150751E0;-9,663480E1
3,234084E0;-1,025821E2
3,319084E0;-1,096603E2
3,402418E0;-1,123597E2
3,485751E0;-1,174710E2
3,569084E0;-1,213187E2
3,652418E0;-1,246722E2
3,735751E0;-1,304662E2
3,819084E0;-1,334234E2
3,902418E0;-1,380128E2
3,985751E0;-1,431960E2
4,069084E0;-1,485974E2
4,152418E0;-1,578400E2
4,235751E0;-1,634761E2
4,319084E0;-1,687436E2
4,402418E0;-1,754406E2
4,485751E0;1,786511E2
4,569084E0;1,719211E2
4,652418E0;1,619078E2
4,735751E0;1,609892E2
4,819084E0;1,545678E2
4,902418E0;1,509190E2
4,985751E0;1,430927E2
5,069084E0;1,367715E2
5,152418E0;1,312386E2
5,235751E0;1,242834E2
5,319084E0;1,194508E2
5,402418E0;1,130968E2
5,485751E0;1,072383E2
5,569084E0;1,009041E2
5,652418E0;9,341223E1
5,735751E0;8,830653E1
5,819084E0;7,899646E1
5,902418E0;6,769617E1
5,985751E0;6,104900E1
6,069084E0;5,503110E1
6,152418E0;5,147117E1
6,402418E0;4,104575E1
6,485751E0;3,571584E1
6,569084E0;2,940419E1
6,652418E0;2,333237E1
6,735751E0;1,761816E1
6,819084E0;1,167073E1
6,902418E0;5,509876E0
6,985751E0;-4,568945E-1
7,069084E0;-5,501086E0
7,152418E0;-1,243956E1
7,235751E0;-1,878325E1
7,320751E0;-2,386833E1
7,404084E0;-3,057923E1
7,487418E0;-3,575695E1
7,570751E0;-4,315663E1
7,654084E0;-4,870843E1
7,737418E0;-5,404841E1
7,820751E0;-5,790031E1
7,904084E0;-6,396627E1
7,987418E0;-7,067800E1
8,070751E0;-7,825154E1
8,154084E0;-8,436660E1
8,237418E0;-8,912606E1
8,320751E0;-9,854033E1
8,404084E0;-1,055844E2
8,487418E0;-1,116248E2
8,570751E0;-1,193159E2
8,654084E0;-1,252445E2
8,737418E0;-1,294389E2
8,820751E0;-1,351308E2
8,904084E0;-1,404735E2
8,987418E0;-1,462059E2
9,070751E0;-1,526349E2
9,154084E0;-1,576569E2
9,237418E0;-1,615947E2
9,320751E0;-1,688351E2
9,404084E0;-1,741065E2
9,487418E0;-1,796304E2
9,570751E0;1,734596E2
9,654084E0;1,679372E2
9,737418E0;1,615651E2
9,820751E0;1,546007E2
9,904084E0;1,506574E2
9,987418E0;1,439933E2
1,007075E1;1,378926E2
1,015408E1;1,320012E2
1,023742E1;1,257908E2
1,032075E1;1,198621E2
1,040408E1;1,105673E2
1,048742E1;1,074525E2
1,057075E1;1,020810E2
1,065408E1;9,489625E1
1,073742E1;9,089517E1
1,082075E1;8,628977E1
1,090408E1;7,463533E1
1,098742E1;7,042289E1
1,107075E1;6,373673E1
1,115408E1;6,101005E1
1,123908E1;5,305441E1
