t;θ
0,000000E0;2,910893E1
8,333333E-2;2,752058E1
1,666667E-1;2,322311E1
2,500000E-1;2,030708E1
3,333333E-1;1,919806E1
4,166667E-1;1,711635E1
5,000000E-1;1,271856E1
5,833333E-1;9,688787E0
6,666667E-1;7,379200E0
7,500000E-1;4,555406E0
8,333333E-1;1,483055E0
9,166667E-1;-1,487868E0
1,000000E0;-4,032213E0
1,083333E0;-7,415266E0
1,166667E0;-1,074048E1
1,250000E0;-1,467208E1
1,333333E0;-1,748308E1
1,416667E0;-2,146962E1
1,500000E0;-2,474204E1
1,583333E0;-2,873174E1
1,666667E0;-3,185276E1
1,750000E0;-3,583765E1
1,833333E0;-4,115905E1
1,916667E0;-4,419117E1
2,001667E0;-4,755975E1
2,085000E0;-5,250113E1
2,168333E0;-5,617791E1
2,251667E0;-6,032596E1
2,335000E0;-6,496022E1
2,418333E0;-7,017962E1
2,501667E0;-7,436877E1
2,585000E0;-7,801823E1
2,668333E0;-8,353215E1
2,751667E0;-8,864299E1
2,835000E0;-9,315334E1
2,918333E0;-9,833256E1
3,001667E0;-1,031805E2
3,085000E0;-1,087725E2
3,168333E0;-1,145770E2
3,251667E0;-1,183604E2
3,335000E0;-1,244547E2
3,418333E0;-1,288280E2
3,501667E0;-1,348603E2
3,585000E0;-1,418110E2
3,668333E0;-1,476526E2
3,751667E0;-1,542546E2
3,835000E0;-1,594308E2
3,918333E0;-1,650276E2
4,001667E0;-1,725847E2
4,085000E0;-1,779412E2
4,168333E0;1,763537E2
4,251667E0;1,699647E2
4,335000E0;1,649105E2
4,418333E0;1,578823E2
4,501667E0;1,525424E2
4,585000E0;1,472417E2
4,668333E0;1,392014E2
4,751667E0;1,343869E2
4,835000E0;1,286296E2
4,918333E0;1,219236E2
5,001667E0;1,166082E2
5,085000E0;1,094666E2
5,168333E0;1,050864E2
5,251667E0;9,849747E1
5,335000E0;9,067631E1
5,418333E0;8,620533E1
5,501667E0;8,033203E1
5,585000E0;7,422524E1
5,668333E0;6,770725E1
5,751667E0;6,094540E1
5,835000E0;5,710419E1
5,920000E0;4,901886E1
6,003333E0;4,137018E1
6,086667E0;3,668080E1
6,170000E0;3,064758E1
6,253333E0;2,757942E1
6,336667E0;2,092450E1
6,420000E0;1,337508E1
6,503333E0;8,567871E0
6,586667E0;2,256794E0
6,670000E0;-3,488178E0
6,753333E0;-9,306881E0
6,836667E0;-1,572297E1
6,920000E0;-2,052246E1
7,003333E0;-2,716499E1
7,086667E0;-3,355576E1
7,170000E0;-3,922871E1
7,253333E0;-4,575295E1
7,336667E0;-5,106958E1
7,420000E0;-5,727055E1
7,503333E0;-6,420975E1
7,586667E0;-6,816261E1
7,670000E0;-7,503703E1
7,753333E0;-8,090588E1
7,836667E0;-8,681482E1
7,920000E0;-9,321767E1
8,003333E0;-9,844849E1
8,086667E0;-1,055603E2
8,170000E0;-1,131591E2
8,253333E0;-1,164344E2
8,336667E0;-1,228763E2
8,420000E0;-1,276872E2
8,503333E0;-1,336934E2
8,586667E0;-1,394199E2
